Condition,CodeType,DxCodeLocation,DxCode,,,,,,
CHF,ICD10DX,ANY,I50.20,,,,,,
CHF,ICD10DX,ANY,I50.21,,,,,,
CHF,ICD10DX,ANY,I50.22,,,,,,
CHF,ICD10DX,ANY,I50.23,,,,,,
CHF,ICD10DX,ANY,I50.30,,,,,,
CHF,ICD10DX,ANY,I50.31,,,,,,
CHF,ICD10DX,ANY,I50.32,,,,,,
CHF,ICD10DX,ANY,I50.33,,,,,,
CHF,ICD10DX,ANY,I50.40,,,,,,
CHF,ICD10DX,ANY,I50.41,,,,,,
CHF,ICD10DX,ANY,I50.42,,,,,,
CHF,ICD10DX,ANY,I50.43,,,,,,
CHF,ICD10DX,ANY,I50.810,,,,,,
CHF,ICD10DX,ANY,I50.811,,,,,,
CHF,ICD10DX,ANY,I50.812,,,,,,
CHF,ICD10DX,ANY,I50.813,,,,,,
CHF,ICD10DX,ANY,I50.814,,,,,,
CHF,ICD10DX,ANY,I50.82,,,,,,
CHF,ICD10DX,ANY,I50.83,,,,,,
CHF,ICD10DX,ANY,I50.84,,,,,,
CHF,ICD10DX,ANY,I50.89,,,,,,
CHF,ICD10DX,ANY,I50.9,,,,,,
CHF,ICD9DX,ANY,398.91,,,,,,
CHF,ICD9DX,ANY,402.01,,,,,,
CHF,ICD9DX,ANY,402.11,,,,,,
CHF,ICD9DX,ANY,402.91,,,,,,
CHF,ICD9DX,ANY,404.01,,,,,,
CHF,ICD9DX,ANY,404.03,,,,,,
CHF,ICD9DX,ANY,404.11,,,,,,
CHF,ICD9DX,ANY,404.13,,,,,,
CHF,ICD9DX,ANY,404.91,,,,,,
CHF,ICD9DX,ANY,404.93,,,,,,
CHF,ICD9DX,ANY,428,,,,,,
CHF,ICD9DX,ANY,428.1,,,,,,
CHF,ICD9DX,ANY,428.2,,,,,,
CHF,ICD9DX,ANY,428.21,,,,,,
CHF,ICD9DX,ANY,428.22,,,,,,
CHF,ICD9DX,ANY,428.23,,,,,,
CHF,ICD9DX,ANY,428.3,,,,,,
CHF,ICD9DX,ANY,428.31,,,,,,
CHF,ICD9DX,ANY,428.32,,,,,,
CHF,ICD9DX,ANY,428.33,,,,,,
CHF,ICD9DX,ANY,428.4,,,,,,
CHF,ICD9DX,ANY,428.41,,,,,,
CHF,ICD9DX,ANY,428.42,,,,,,
CHF,ICD9DX,ANY,428.43,,,,,,
CHF,ICD9DX,ANY,428.9,,,,,,
CHRNKDN,ICD10DX,ANY,A18.11,,,,,,
CHRNKDN,ICD10DX,ANY,A52.75,,,,,,
CHRNKDN,ICD10DX,ANY,B52.0,,,,,,
CHRNKDN,ICD10DX,ANY,C64.1,,,,,,
CHRNKDN,ICD10DX,ANY,C64.2,,,,,,
CHRNKDN,ICD10DX,ANY,C64.9,,,,,,
CHRNKDN,ICD10DX,ANY,C68.9,,,,,,
CHRNKDN,ICD10DX,ANY,D30.00,,,,,,
CHRNKDN,ICD10DX,ANY,D30.01,,,,,,
CHRNKDN,ICD10DX,ANY,D30.02,,,,,,
CHRNKDN,ICD10DX,ANY,D41.00,,,,,,
CHRNKDN,ICD10DX,ANY,D41.01,,,,,,
CHRNKDN,ICD10DX,ANY,D41.02,,,,,,
